"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","@chilternrailway Huge 'Well Done' to the 2 guys at BMO heroically sweeping puddles of water of platform 2. Great jo… https://t.co/684P9KJK78",FALSE,0,"chilternrailway",2018-05-25 09:03:30,TRUE,NA,"999939001804083201","23776825","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abbeygreen29",0,FALSE,FALSE,NA,NA
"12","@Bmo has the worst customer service they take so long to answer the phone smdh",FALSE,0,"BMO",2018-05-25 03:25:26,FALSE,NA,"999853925103800320","222249603","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yaboireezus",0,FALSE,FALSE,NA,NA
"13","@kaz_vanc Hey Kaz, U can transfer funds from your CIBC TFSA account to ur CIBC deposit account using CIBC Online /M… https://t.co/pIwz3ydfVb",FALSE,0,"kaz_vanc",2018-05-24 20:29:57,TRUE,"999720316749279234","999749364670189569","2312417516","<a href=""http://www.spredfast.com"" rel=""nofollow"">Spredfast app</a>","cibc",0,FALSE,FALSE,NA,NA
"14","RT @ChicagoFire: Get set for Saturday's sunshine state showdown with this week's #FireWeekly, available to stream now! <U+0001F50A>

Web: https://t.co…",FALSE,0,NA,2018-05-24 18:27:25,FALSE,NA,"999718526041681920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hernanespn",3,TRUE,FALSE,NA,NA
"15","@nadineeers Thank you for your comments about your phone conversation with Doug. I have forwarded your comments. I… https://t.co/xoN03WcbRg",FALSE,0,"nadineeers",2018-05-24 17:06:38,TRUE,"999696162901970945","999698195818074113","131675787","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","BMO",0,FALSE,FALSE,NA,NA
"16","@BMO I would like him to be recognized for his cheerful and excellent customer service",FALSE,0,"BMO",2018-05-24 16:58:33,FALSE,"999408399757463553","999696162901970945","222249603","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nadineeers",0,FALSE,FALSE,NA,NA
"17","Service Representative: BMO Financial Group (Burlington ON): ""This position will provide exceptional cu.. #eluta https://t.co/vSsAIqBKqm",FALSE,0,NA,2018-05-24 14:41:58,FALSE,NA,"999661791687954432",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","eluta_jobs",0,FALSE,FALSE,NA,NA
"18","RT @_katehowe: I AM CRYING. WHAT A GOOD BOY. EVERYONE SALUTE CIRO. THANK YOU FOR YOUR SERVICE https://t.co/ABeUFPdaeN",FALSE,0,NA,2018-05-24 14:20:02,FALSE,NA,"999656273439322112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","im_secretly_BMO",72664,TRUE,FALSE,NA,NA
"19","RT @ChicagoFire: Get set for Saturday's sunshine state showdown with this week's #FireWeekly, available to stream now! <U+0001F50A>

Web: https://t.co…",FALSE,0,NA,2018-05-24 01:49:34,FALSE,NA,"999467411828027395",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrueMartyParty",3,TRUE,FALSE,NA,NA
"20","RT @ChicagoFire: Get set for Saturday's sunshine state showdown with this week's #FireWeekly, available to stream now! <U+0001F50A>

Web: https://t.co…",FALSE,0,NA,2018-05-24 00:53:55,FALSE,NA,"999453403699965954",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZuritaMercedes",3,TRUE,FALSE,NA,NA
"21","Get set for Saturday's sunshine state showdown with this week's #FireWeekly, available to stream now! <U+0001F50A>

Web:… https://t.co/w9zfb610pr",FALSE,11,NA,2018-05-23 22:45:07,TRUE,NA,"999420993767727105",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ChicagoFire",3,FALSE,FALSE,NA,NA
"22","Shoutout to the @BMO customer service. They were awesome today when I called in for some help with one of my credit cards.",FALSE,4,NA,2018-05-23 22:04:07,FALSE,NA,"999410675926499328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","moneyaftergrad",0,FALSE,FALSE,NA,NA
"23","@cibc   I am very disappointed that CIBC decision makers have determined that the CIBC branch at Yonge St. and Mulo… https://t.co/elqQHT5m4L",FALSE,0,"cibc",2018-05-23 21:59:00,TRUE,NA,"999409387553935360","27949726","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","drichard114",0,FALSE,FALSE,NA,NA
"24","RT @CIBCFCIBJM: CIBC FirstCaribbean International Bank has again joined the National Blood Transfusion Service (NBTS) in a concerted effort…",FALSE,0,NA,2018-05-23 17:46:04,FALSE,NA,"999345733177434112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","melziibaby",1,TRUE,FALSE,NA,NA
"25","CIBC FirstCaribbean International Bank has again joined the National Blood Transfusion Service (NBTS) in a concerte… https://t.co/SgGRLoGSHx",FALSE,0,NA,2018-05-23 17:45:26,TRUE,NA,"999345575412805634",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CIBCFCIBJM",1,FALSE,FALSE,NA,NA
"26","Service Representative 30 hours (part time) Madison (Capital Sq) https://t.co/2fwbXamx1r",FALSE,0,NA,2018-05-23 15:38:16,FALSE,NA,"999313570016964613",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","jobsxlusa",0,FALSE,FALSE,NA,NA
"27","@BMO Thank you, but I am on the West Coast and for me that means your service closes at 5:00pm!! I know that the pe… https://t.co/XMhUGYOvXs",FALSE,0,"BMO",2018-05-23 14:37:31,TRUE,"999288570627047429","999298284979044357","222249603","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarianneWong2",0,FALSE,FALSE,NA,NA
"28","The @cibc #aventura @Visa card is the worst credit card I’ve ever had.  The rewards are not what are promised, the… https://t.co/oehw3Owv9j",FALSE,0,NA,2018-05-22 23:27:26,TRUE,NA,"999069252593299456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DarkstoneRoss",0,FALSE,FALSE,NA,NA
"29","@acuppatee @cibc @Visa I was on for an hour, during which time the prices on flights went up.  Worst customer service ever.",FALSE,0,"acuppatee",2018-05-22 23:24:17,FALSE,"968865591120416768","999068459332964357","17024401","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DarkstoneRoss",0,FALSE,FALSE,NA,NA
"30","@BMO @MastercardCA guys why do you quote a 15-20min wait period if you can’t come close? I hung up at 50mins! Perha… https://t.co/XEcfh71DqQ",FALSE,0,"BMO",2018-05-22 22:36:25,TRUE,NA,"999056416370515968","222249603","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","munchie_p",0,FALSE,FALSE,NA,NA
"31","DO NOT BANK WITH @BMO they have the worst customer service. Will NOT help you on the phone about your accounts. I n… https://t.co/bwQwYFBSdN",FALSE,0,NA,2018-05-22 22:24:14,TRUE,NA,"999053350674059264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eriemari",0,FALSE,FALSE,NA,NA
"32","@Colour2CC @cibc @Allure_magazine Perfect. lasts week,I just went CIBC branch that is located in 17 ave SW Calgary… https://t.co/AQtUpEp6lQ",FALSE,0,"Colour2CC",2018-05-22 19:49:57,TRUE,"996065806671892482","999014523964084224","2798517530","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JEFFCALGARY",0,FALSE,FALSE,NA,NA
"33","Even though I had already called support and sorted things out, it's nice to see CIBC reaching out on here as well.… https://t.co/YnjSJ1SDi8",FALSE,0,NA,2018-05-22 16:01:55,TRUE,NA,"998957135802269696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","njiska",0,FALSE,FALSE,NA,NA
"34","Just thought you should know @BMO Karon on your customer service line is terrible. That is all. Doug however was a gem",FALSE,0,NA,2018-05-22 13:21:31,FALSE,NA,"998916770193903616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nadineeers",0,FALSE,FALSE,NA,NA
"35","@cibc @zakiahgrant I have been a long time CIBC customer and am very disappointed at how my daughter was treated. I… https://t.co/JjTkrD0WgN",FALSE,0,"cibc",2018-05-21 19:15:51,TRUE,"997952800905678851","998643551083814913","27949726","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RachelleGrant4",0,FALSE,FALSE,NA,NA
"36","Financial Service Associate, Commercial Banking: CIBC (Langley BC): ""on a mission to build .. #abbotsford #eluta https://t.co/Eil4aFkLq7",FALSE,0,NA,2018-05-21 15:43:09,FALSE,NA,"998590023204331520",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","abbotsford_jobs",0,FALSE,FALSE,NA,NA
"37","@bigbasket_com u people have messed my order. n now ull are asking me to buy non veg cake. so unprofessional and pa… https://t.co/RvfO2zoMQ4",FALSE,0,"bigbasket_com",2018-05-21 10:04:58,TRUE,NA,"998504918846660608","618790274","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dineshkor",0,FALSE,FALSE,NA,NA
"38","Customer Service Representative: CIBC (Ormstown QC): ""on a mission to build the relation.. #BestDiversity #eluta https://t.co/rPovAwRDGK",FALSE,0,NA,2018-05-21 09:49:13,FALSE,NA,"998500955963514880",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Diversity__Jobs",0,FALSE,FALSE,NA,NA
"39","Customer Service Representative: CIBC (Ormstown QC): ""on a mission to build the relationship-fo.. #GTAtop #eluta https://t.co/AUM6ModQjA",FALSE,0,NA,2018-05-21 09:30:08,FALSE,NA,"998496153883770880",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","GTATopEmployers",0,FALSE,FALSE,NA,NA
"40","Customer Service Representative: CIBC (Ormstown QC): ""on a mission to build the relationshi.. #Over40Jobs #eluta https://t.co/vLYZbDqw1u",FALSE,0,NA,2018-05-21 09:17:19,FALSE,NA,"998492925762949120",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","TopEmployers40",0,FALSE,FALSE,NA,NA
"41","Customer Service Representative: CIBC (Ormstown QC): ""on a mission to build the relation.. #CanadasTop100 #eluta https://t.co/fQYdzgNDrd",FALSE,0,NA,2018-05-21 09:09:09,FALSE,NA,"998490870830850049",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","ct100_jobs",0,FALSE,FALSE,NA,NA
"42","Customer Service Representative: CIBC (Ormstown QC): ""Customer Service Representative,.. #customerservice #eluta https://t.co/cyGJVhvvcp",FALSE,0,NA,2018-05-21 08:39:27,FALSE,NA,"998483398997037057",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","CustomerSvcJob",0,FALSE,FALSE,NA,NA
"43","Senior Customer Service Representative: CIBC (Lloydminster SK): ""on a mission to build th.. #saskatchewan #eluta https://t.co/kbEcWFdrX0",FALSE,0,NA,2018-05-21 08:39:19,FALSE,NA,"998483365270622208",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SK_Jobs",0,FALSE,FALSE,NA,NA
"44","Customer Service Representative: CIBC (Ormstown QC): ""on a mission to build the relati.. #YoungPeopleJobs #eluta https://t.co/jeOeI7a4kM",FALSE,0,NA,2018-05-21 08:17:45,FALSE,NA,"998477936087982083",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","YoungEmployers",0,FALSE,FALSE,NA,NA
"45","Senior Customer Service Representative: CIBC (Mississauga ON): ""on a mission to build the rel.. #hamilton #eluta https://t.co/oI3nw17cHb",FALSE,0,NA,2018-05-21 08:13:06,FALSE,NA,"998476764434362368",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Hamilton__Jobs",0,FALSE,FALSE,NA,NA
"46","Senior Customer Service Representative: CIBC (Mississauga ON): ""on a mission to build the .. #mississauga #eluta https://t.co/zMv8KsdCkR",FALSE,0,NA,2018-05-21 08:12:09,FALSE,NA,"998476525216378881",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","MississaugaJob_",0,FALSE,FALSE,NA,NA
"47","@TorontoPearson We were at the CIBC promotional sitting area in Terminal 1. Not far from customer service.  Your ch… https://t.co/m6zu5UpNs0",FALSE,0,"TorontoPearson",2018-05-20 01:28:55,TRUE,"998009618055024640","998012664256303106","48062810","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Laceyavalon",0,FALSE,FALSE,NA,NA
"48","@BMO...terrible service. Customers pay yearly fees and yet never see their rewards “supposedly” easily given with t… https://t.co/RarA7H0WMA",FALSE,0,"BMO",2018-05-19 14:53:52,TRUE,NA,"997852846899904515","222249603","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RioCarsonxoxo",0,FALSE,FALSE,NA,NA
"49","The only CIBC atm that’s actually decently close to my apartment just got switched for a different bank... tag your… https://t.co/ww5wphhOun",FALSE,0,NA,2018-05-19 14:00:41,TRUE,NA,"997839463869956097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurajdarling",0,FALSE,FALSE,NA,NA
"50","#MinnesotaJobs #MNJobs #jobs Service Representative-PT 10 Hours-Edina,MN - BMO Financial Group - Edin.. see<U+2794> https://t.co/w873nrWsnz",FALSE,0,NA,2018-05-19 10:15:08,FALSE,NA,"997782702140088320",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","MNJobConnecter",0,FALSE,FALSE,NA,NA
